obligation,source_ref,modality,requirement,verdict,quote,locator,reason,requirement_locator
O-001,R-001,SHALL,The Contractor SHALL scope the minimum viable product to the administrative boundary of Port Meridian only.,unmet,,,The passages do not mention 'Port Meridian' or any administrative boundary at all; there is no statement limiting the MVP scope to Port Meridian.,requirements:19
O-002,R-001,SHALL,Adjacent municipalities ... SHALL be addressed in the roadmap.,unmet,,,"The obligation requires that 'Adjacent municipalities ... SHALL be addressed in the roadmap', but none of the provided passages mention adjacent municipalities or any roadmap element addressing them.",requirements:20
O-003,R-002,SHALL,"The MVP SHALL support two scenarios: tidal surge overtopping of coastal defences, and prolonged rainfall intensity exceeding drainage capacity.",met,"The twin models the drainage and coastal defence network of the metropolitan area, supporting two operating scenarios: coastal overtopping of sea defences, and sustained precipitation rate in excess of drainage capacity.",deliverable-v1:24-34,The passage explicitly states the twin supports the two required scenarios: 'coastal overtopping of sea defences' (matching 'tidal surge overtopping of coastal defences') and 'sustained precipitation rate in excess of drainage capacity' (matching 'prolonged rainfall intensity exceeding drainage capacity').,requirements:23
O-004,R-003,SHALL,The architecture SHALL support evacuation decision support as a consumer of twin outputs.,unmet,Emergency services are treated as an external consumer. Interfaces to their systems are out of scope for this revision.,deliverable-v1:35-46,"The obligation requires the architecture to support evacuation decision support *as a consumer of twin outputs*, but the passages explicitly state that emergency services (the likely evacuation decision support entity) are treated as an external consumer and interfaces to their systems are out of scope, meaning the architecture does not support them as consumers within the defined system boundaries.",requirements:27
O-005,R-004,SHALL NOT,The Contractor SHALL NOT assume that any third-party sensor operator will grant write access to their telemetry platform.,met,Access is read-only in all cases; no write path to an operator platform is proposed.,deliverable-v1:256-260,"The passage explicitly states that access is read-only in all cases and no write path to an operator platform is proposed, directly discharging the obligation that the Contractor shall not assume any third-party sensor operator will grant write access.",requirements:31
O-006,R-010,SHALL,identify all system components,met,"The architecture is component-oriented. Six components are described: the Runtime Orchestrator, the Sensor Fabric, the Hydrology Model, the Alerting Service, the Calibration Pipeline, and the Platform Adapter.",deliverable-v1:24-34,"The passage explicitly identifies all six system components by name and provides their IDs and responsibilities in the 'Component overview' table, fully discharging the obligation to identify all system components.",requirements:36
O-007,R-010,SHALL,identify all system components' responsibilities,met,"| ID | Component | Responsibility |
|---|---|---|
| RO | Runtime Orchestrator | Execution scheduling, tick advancement, state commit |
| SF | Sensor Fabric | Telemetry ingest, quality flags, gap filling |
| HM | Hydrology Model | Hydraulic state estimation and forward projection |
| AS | Alerting Service | Threshold evaluation and alert emission |
| CP | Calibration Pipeline | Parameter estimation against historical events |
| PA | Platform Adapter | Integration with third-party telemetry platforms |",deliverable-v1:47-57,"The table explicitly identifies all six system components and their respective responsibilities, fully discharging the obligation.",requirements:36
O-008,R-010,SHALL,identify all system components' interfaces,met,"[Appendix C — Consolidated interface catalogue | deliverable-v1:348-355]

IF-SF-001, IF-SF-002, IF-SF-003, IF-SF-004, IF-HM-001, IF-HM-002, IF-HM-003,
IF-AS-001, IF-AS-002, IF-RO-001, IF-RO-002, IF-PA-001, IF-PA-002, IF-PA-003.

IF-RO-001 is the tick advancement signal published by the Runtime Orchestrator
to all components; IF-RO-002 is the state commit notification.",,"The deliverable explicitly identifies all system components' interfaces in dedicated interface tables (Sections 4.6–4.11) and consolidates them in Appendix C, including directional information and descriptions where available.",requirements:36
O-009,R-011,SHALL,Every interface shall carry a unique identifier,met,"| ID | Interface | Direction |
|---|---|---|
| IF-HM-001 | Flagged observation intake | in |
| IF-HM-002 | Estimated state publication | out |
| IF-HM-003 | Projection series publication | out |",deliverable-v1:158-165,"Each interface table explicitly includes an 'ID' column with unique identifiers (e.g., IF-HM-001, IF-HM-002, etc.), satisfying the requirement that every interface shall carry a unique identifier.",requirements:39
O-010,R-011,SHALL,Every interface shall appear in a consolidated interface catalogue,unmet,,,The passages list interfaces in various sections but do not state or demonstrate that they appear in a consolidated interface catalogue.,requirements:39
O-011,R-012,SHALL,"For every capability the architecture describes, the deliverable shall name exactly one component accountable for it.",met,"| ID | Component | Responsibility |
|---|---|---|
| RO | Runtime Orchestrator | Execution scheduling, tick advancement, state commit |
| SF | Sensor Fabric | Telemetry ingest, quality flags, gap filling |
| HM | Hydrology Model | Hydraulic state estimation and forward projection |
| AS | Alerting Service | Threshold evaluation and alert emission |
| CP | Calibration Pipeline | Parameter estimation against historical events |
| PA | Platform Adapter | Integration with third-party telemetry platforms |",deliverable-v1:47-57,"Section 4 explicitly lists exactly one component per capability (as defined by their responsibilities), satisfying the requirement that each capability be accountable to exactly one component.",requirements:42
